Company,Job,Location,Salary,Skills
Google,"Engineering Resident, University Graduate (Fixed Term Employ...","Mountain View, CA",0,
Transcriptic,Application Scientist,"Menlo Park, CA 94025",0,
Recruit Institute of Technology,Research Scientist,"Mountain View, CA",0,
eBay,Sr Manager Advertising Analytics,"San Jose, CA",0,
Centrillion,Software Engineer,"Palo Alto, CA",0,
AppLovin,Software Engineer (Platform),"Palo Alto, CA",0,
Nokia Siemens Networks,"Senior Specialist, Analog / RF IC","Sunnyvale, CA",0,
IMVU,Data Scientist,"Redwood City, CA",0,
"Redolent, Inc",Big Data Software Engineer ( Senior ),"Sunnyvale, CA",0,
"Redolent, Inc",Taxonomist - eCommerce / Retail,"San Bruno, CA",0,
Apple,Advanced Material Scientist (New Materials Development),"Santa Clara Valley, CA",0,
HP Inc,HP Labs Postdoctoral Materials Scientist,"Palo Alto, CA",0,
ProteinSimple,Applications Scientist,"San Jose, CA 95134 (North San Jose area)",0,
"Hitachi America, Ltd.","Research Scientist, Healthcare","Santa Clara, CA 95054",0,
Google,"Product Manager, Vehicle (Self-Driving Car), X","Mountain View, CA",0,
Visa,Research Scientist - Security,"Foster City, CA",0,
Pacific Biosciences,"Principal Scientist / Sr. Staff Scientist, Single Molecule S...","Menlo Park, CA",0,
"Hitachi America, Ltd.","Research Scientist, Machine Learning","Santa Clara, CA 95054",0,
Cheetah Ad Platform,Machine Learning - Deep Learning Software Engineer,"Palo Alto, CA",0,
Theranos,"Scientist, Chemistry Assay Development","Palo Alto, CA",0,
DuPont,"Process Technician II/III, Analytical","Palo Alto, CA",0,
Intellipro Group Inc.,Software Engineer - Machine Learning,"Santa Clara, CA",0,
Redfish Technology - High Tech Executive Recruiter...,Machine Learning and Search,"Los Altos, CA",0,
Intuit,Full Stack Engineer for Innovation and Advanced Technology G...,"Mountain View, CA 94039",0,
Natera,Staff Bioinformatician,"San Carlos, CA 94070",0,
Picarro,Systems/Test Engineer,"Santa Clara, CA 95054",0,
Exponent,Software and Analytics Scientist,"Menlo Park, CA 94025",0,
Ayasdi,Senior Data Engineer (Python),"Menlo Park, CA 94025",0,
Stanford Health Care,CLS Relief - Outpatient Center Clinical Labs,"Redwood City, CA",0,
SlipChip,Bioinformatics Scientist,"Menlo Park, CA 94025",0,
DataVisor,Security Data Scientist,"Mountain View, CA",0,
Intuit,"Staff Software Engineer, Search","Mountain View, CA 94039",0,
"Cisco Systems, Inc.",Senior Software Engineer- Big Data,"San Jose, CA",0,
Tencent America LLC,Senior Market Research Analyst,"Palo Alto, CA",0,
Centrillion,"Scientist II, Product Science","Palo Alto, CA",0,
Workbridge Associates,Principle Data Scientist,"San Jose, CA 95113 (Downtown area)","$100,000 - $200,000 a year",
Jetlore,​Data Engineer,"Sunnyvale, CA",0,
Adobe,Computer Scientist--Creative SDK,"San Jose, CA",0,
Boehringer Ingelheim,"Scientist, Analytical Science","Fremont, CA",0,
Adobe,Sr. Computer Scientist – Machine Learning Applications,"San Jose, CA",0,
Gilead Sciences,"Associate Scientist I, Fibrosis and Oncology","Foster City, CA",0,
"GenapSys, Inc.",Signal Processing & Data Analyst,"Redwood City, CA",0,
Amazon Corporate LLC,Applied Scientist - Selection Classification,"Cupertino, CA",0,
Quora,Software Engineer - Machine Learning,"Mountain View, CA",0,
AstraZeneca,Scientist,"Redwood City, CA",0,
Facebook,"Data Scientist, Infrastructure Strategy","Menlo Park, CA",0,
Baidu USA,Software Engineer -Autonomous Driving,"Sunnyvale, CA 94089",0,
TiVo,Senior Data Engineer,"San Jose, CA 95131 (North Valley area)",0,
SCIEX,"Project Manager, Service Business Operations","Redwood City, CA",0,
Stanford University,Research Finance Analyst,"Stanford, CA 94305",0,
BioClinica,Scientist,"Newark, CA",0,
A9.com,"Senior Software Engineer – Machine Learning, Search, Query p...","Palo Alto, CA",0,
Atreca,Bioinformatics Scientist,"Redwood City, CA 94063",0,
SRI International,Postdoctoral Fellow or Research Scientist - Integrative Neur...,"Menlo Park, CA 94025",0,
Apple,"Data Scientist, Proactive Intelligence","Santa Clara Valley, CA",0,
Keysight Technologies,DSP Engineer,"Santa Clara, CA",0,
Coursera,"Data Scientist, Growth","Mountain View, CA 94041",0,
Instart Logic,Software Engineer: Core Application Security,"Palo Alto, CA 94306 (Barron Park area)",0,
Natera,"Project Manager, Sales Operations and Strategy","Redwood City, CA",0,
Elevate Recruiting Group,Sr. Statistician,"Redwood City, CA",0,
"GRAIL, Inc.",SENIOR STATISTICAL PROGRAMMER,"Redwood City, CA",0,
Imerys,Research Scientist,"San Jose, CA",0,
Ayasdi,Technical Product Manager (Financial Services),"Menlo Park, CA 94025",0,
Paragon,Data Quality Engineer,"Mountain View, CA",0,
Natera,Clinical Laboratory Associate I (Temporary),"San Carlos, CA 94070",0,
"Cisco Systems, Inc.",Software Test Engineer,"San Jose, CA",0,
Apple,Equipment Process Development Engineer.,"Santa Clara Valley, CA",0,
Facebook,Data Scientist- Consumer Insights,"Menlo Park, CA",0,
ASRC Federal,Cyber Security Analyst/Network Security,"Moffett Field, CA",0,
Walmart eCommerce,Sr. Seller Integration Engineer,"Sunnyvale, CA",0,
Roche,"Sr Scientist, Sequencing","Santa Clara, CA",0,
Rambus,Metamaterial Optical Physicist,"Sunnyvale, CA 94089",0,
Science from Scientists,Program Operations Manager,"San Mateo, CA",0,
Phoenix Bioinformatics,Bioinformatician,"Redwood City, CA",0,
Geomagical Labs,3D Vision Engineer,"Mountain View, CA",0,
Science Philanthropy Alliance,Alliance Fellow,"Palo Alto, CA",0,
Workbridge Associates,Big Data Engineer,"San Jose, CA 95113 (Downtown area)","$120,000 - $150,000 a year",
Ipsy,Machine Learning Engineer,"San Mateo, CA",0,
Elti Solutions,Machine Learning Engineer,"Palo Alto, CA",0,
Biostrap,Data Scientist,"Mountain View, CA",0,
Apple,Senior Software Engineer/Machine Learning Engineer,"Santa Clara Valley, CA",0,
Triple Ring Technologies,Senior Scientist,"Fremont, CA",0,
Gilead Sciences,Research Scientist II- Inflammation,"Foster City, CA",0,
SLAC National Accelerator Laboratory,Network Specialist,"Menlo Park, CA",0,
Gilead,Research Scientist II- Inflammation,"Foster City, CA",0,
Coursera,Machine Learning Engineer,"Mountain View, CA 94041",0,
IDC,"Senior Research Analyst, Devices","San Mateo, CA",0,
Sony Interactive Entertainment PlayStation,Lead Data Scientist-Business Intelligence Service,"San Mateo, CA",0,
Carnegie Institution,Mass Spectrometry Scientist,"Stanford, CA",0,
Quartzy,Business Development Associate,"Palo Alto, CA",0,
Matrix Consulting Group,Research Analyst,"Mountain View, CA",0,
LRNG by Collective Shift,Senior Game Programmer,"Redwood City, CA",0,
Exponent,Associate,"Menlo Park, CA 94025",0,
"23andMe, Inc.",Data Scientist,"Mountain View, CA 94041",0,
Adverum Biotechnologies,Director of Clinical Development,"Menlo Park, CA",0,
NVIDIA,Developer Technology Engineer – Autonomous Driving,"Santa Clara, CA",0,
Lab Support,Scientist Profiling and Cell Services (Assays),"Fremont, CA",0,
eBay,Software Engineer,"San Jose, CA",0,
A9.com,Full Stack Software Engineer,"Palo Alto, CA",0,
Walmart eCommerce,"Director, Product Management","Sunnyvale, CA",0,
Jetlore,​Data Scientist,"Sunnyvale, CA",0,
Roche,"Data Scientist II, Sequencing","Santa Clara, CA",0,
Nokia Siemens Networks,Senior Mobile Application Developer,"Sunnyvale, CA",0,
CHEP,Data Scientist,"Palo Alto, CA",0,
"23andMe, Inc.","Senior Scientist, in vivo Biology","Redwood City, CA",0,
Facebook,"Applied Research Scientist and Software Engineers, Speech an...","Menlo Park, CA",0,
LG Electronics,Senior Engineer Machine Learning,"Santa Clara, CA",0,
Groupon,"Economist, Local Intelligence","Palo Alto, CA 94306 (Barron Park area)",0,
Apple,Imaging Scientist,"Santa Clara Valley, CA",0,
Gilead Sciences,"Research Scientist I, Analytical Ops","Foster City, CA",0,
Adara Media Inc,Data Scientist - Mountain View,"Mountain View, CA",0,
Makro Scientific,Research Associate,"Pleasanton, CA",0,
NexTag,Senior Engineer,"Redwood City, CA 94065",0,
SLAC National Accelerator Laboratory,Computer Scientist (Dual Posting),"Menlo Park, CA",0,
NVIDIA,Research Scientist for Computer Vision / Machine Learning,"Santa Clara, CA",0,
Facebook,"Marketing Science Analyst, SMB","Menlo Park, CA",0,
Google,Test and Failure Analysis Engineer,"Mountain View, CA",0,
PRO Unlimited @ facebook,Research Analyst,"Menlo Park, CA 94025",0,
Dataguise Inc.,Machine Learning Expert Consultant,"Fremont, CA 94538 (Irvington area)",0,
Amazon Corporate LLC,Research Scientist,"Palo Alto, CA",0,
Guardant Health,"Bioinformatics Scientist, BioPharma Collaborations","Redwood City, CA",0,
Coupang,Data Engineer,"Palo Alto, CA",0,
Intel,Machine Learning System & Performance Architect Graduate Int...,"Santa Clara, CA 95052",0,
Facebook,"Quantitative Researcher, Growth","Menlo Park, CA",0,
Google,Credit Research Analyst,"Mountain View, CA",0,
A9.com,"Software Development Engineer, Analytics Tools","Palo Alto, CA",0,
Natera,Bioinformatics Analyst,"San Carlos, CA 94070",0,
Apple,Maps Evaluation Country Lead - Italy,"Santa Clara Valley, CA",0,
FICO,Software Analytics Engineer (Machine Learning and Big Data),"San Jose, CA 95110 (Downtown area)",0,
Apple,Senior Software Engineer,"Santa Clara Valley, CA",0,
Gilead Sciences,Research Associate- Medicinal Chemistry,"Foster City, CA",0,
"Bunchball, Inc.",Senior Engineer - Data and Performance,"Redwood City, CA",0,
Tesla Motors,Software Engineer (Hadoop),"Palo Alto, CA",0,
Slice Technologies & Unroll.me,Software Engineer / Machine Learning Scientist,"San Mateo, CA",0,
Theranos,"Sr. Scientist, Enzymology","Palo Alto, CA",0,
Adobe,Machine Learning Scientist,"San Jose, CA",0,
Google,"Quantitative Business Analyst, YouTube","San Bruno, CA",0,
Hikvision USA Inc.,Research Scientist--Computer Vision & Machine Learning,"Santa Clara, CA",0,
Cadence,Deep Learning Intern,"San Jose, CA",0,
Google,"Software Engineer (Machine Learning), Industry Solutions","Mountain View, CA",0,
Facebook,Decision Scientist,"Menlo Park, CA",0,
Delphix,Data Management Infrastructure Engineer,"Redwood City, CA",0,
CloudMedx Inc,"Research Scientist, Deep Learning","Palo Alto, CA 94301 (Professorville area)",0,
Intellipro Group Inc.,Jr. Machine Learning Developer,"Santa Clara, CA",0,
Natero,Machine Learning Engineer,"Mountain View, CA 94040",0,
Jobspring Partners,Data Scientist,"Redwood City, CA","$150,000 - $170,000 a year",
Aol,Research Scientist Big Data,"Palo Alto, CA",0,
Entefy Inc.,Senior Machine Learning Engineer,"Palo Alto, CA",0,
Google,Quantitative Financial Analyst,"Mountain View, CA",0,
Exponent,Associate/Scientist,"Menlo Park, CA 94025",0,
Catalina Marketing,"Sr. Analyst, Data Science","San Jose, CA",0,
Upwork,Data Scientist Intern - Summer 2017,"Mountain View, CA",0,
BMW of North America LLC,Highly Automated Driving Machine Learning Intern,"Mountain View, CA",0,
Centrillion,Research Scientist – Nucleic Acids Chemistry R&D,"Palo Alto, CA",0,
Turn,"Scientist, Applied Science","Redwood City, CA 94063",0,
Rocket Fuel Inc.,Software Engineer - Machine Learning & Artificial Intelligen...,"Redwood City, CA",0,
Google,"Software Engineer, Computer Graphics, Daydream","Mountain View, CA",0,
Thermo Fisher Scientific,Scientist II,"Fremont, CA 94538 (Irvington area)",0,
"GenapSys, Inc.",Senior Bioinformatician,"Redwood City, CA",0,
Facebook,"Manager, Decision Science","Menlo Park, CA",0,
Pacific Biosciences,"Sr. Scientist, Single Molecule Sequencing","Menlo Park, CA",0,
Danaher Labs,Data Scientist - Intern,"Santa Clara, CA",0,
Amazon Corporate LLC,"Applied Scientist, Alexa Artificial Intelligence","Sunnyvale, CA",0,
MedImmune,"Scientist I, Fluorescent Microscopy & Bioanalysis -- (Mounta...","Mountain View, CA 94043",0,
Gilead,"Associate Scientist I, Fibrosis and Oncology","Foster City, CA",0,
Ericsson,Machine Learning Engineer,"Santa Clara, CA",0,
Elevate Recruiting Group,Software Engineer - Machine Learning / Predictive Algorithms,"San Mateo, CA",0,
Ford Motor Company,Automated Driving Research Intern – Machine Learning Embedde...,"Palo Alto, CA",0,
Ten-X,Senior Data Engineer,"Belmont, CA",0,
Apple,Maps Search Ranking & Relevance Manager,"Santa Clara Valley, CA",0,
Groupon,"Data Scientist, Local Intelligence","Palo Alto, CA 94306 (Barron Park area)",0,
Huawei,"Sr. Staff Engineer, Machine Learning & Network Reliability","Santa Clara, CA",0,
Intellipro Group Inc.,Senior Software Engineer in AI & Machine Learning,"Santa Clara, CA",0,
Bina Technologies Inc.,International Product Manager – (Advanced Analytics),"Belmont, CA",0,
NVIDIA,Compute Performance Developer Technology Engineer,"Santa Clara, CA",0,
NVIDIA,Research Scientist – Human Perception and Vision Science,"Santa Clara, CA",0,
Virtual Instruments,Senior/Staff Software Engineer - Big Data Analytics,"San Jose, CA 95110 (Downtown area)",0,
Natera,Scientist (Oncology),"San Carlos, CA 94070",0,
"Magic Leap, Inc.",SW Dev. Engineer in Test (Computer Vision),"Mountain View, CA 94040",0,
Trooly,Front-end Developer,"Los Altos, CA 94022",0,
Apple,Software Engineer - Search,"Santa Clara Valley, CA",0,
Pacific Biosciences,"Bioinformatics Scientist, Applications","Menlo Park, CA",0,
Gilead Sciences,"Research Scientist I, Medicinal Chemistry","Foster City, CA",0,
Electronic Arts,"Sr. Manager, Data Science","Redwood City, CA 94065",0,
Activehours,Risk Analyst,"Palo Alto, CA",0,
Stanford University,Life Science Research Professional,"Stanford, CA 94305",0,
Lambda Labs,iOS Software Engineer (Machine Learning & Artificial Intelli...,"Palo Alto, CA","$80,000 - $250,000 a year",machine learning
Google,"Quantitative Business Analyst Manager, Global Customer Exper...","Mountain View, CA",0,
Apple,Software Engineer - Siri Machine Learning Platform,"Santa Clara Valley, CA",0,
Zebra Technologies,Data Science Manager,"San Jose, CA 95134 (North San Jose area)",0,
"Pharmacyclics, LLC",Lab Data Manager II,"Sunnyvale, CA",0,
Goodwin Procter LLP,Research Analyst,"Menlo Park, CA 94025",0,
West Valley-Mission Community College District,Research Analyst,"Saratoga, CA 95070","$6,327 - $6,930 a month",
Stanford Health Care,CLS - Relief CHEM HEMA & COAG-SHC Clinical Lab,"Palo Alto, CA 94305",0,
Stanford University,Research Administration Manager,"Stanford, CA 94305",0,
"Stellar Labs, Inc.",VP of Engineering,"Redwood City, CA",0,
Stanford Health Care,CLS Staff CHEM HEMA & COAG-SHC CLIN LAB,"Palo Alto, CA 94305",0,
Theranos,"Scientist, Antibody Engineering","Palo Alto, CA",0,
Bina Technologies Inc.,"Bioinformatics Scientist, Tertiary Analysis","Belmont, CA",0,
Intellipro Group Inc.,Sr. & Jr. Machine Learning Developer,"Santa Clara, CA",0,
Poshmark,Director of Data Science & Analytics,"Redwood City, CA",0,
Ardelyx,Senior Medical Writer,"Fremont, CA 94555 (Northgate area)",0,
Lumiata,Data Engineer,"San Mateo, CA",0,
Coupang,Principal Software Engineer,"Palo Alto, CA",0,
Adobe,Python / Machine Learning Engineer,"San Jose, CA",0,
"Amazon Web Services, Inc.",Senior Software Development Engineer - AWS & Machine Learnin...,"Palo Alto, CA",0,
Gilead,"Research Scientist I, Medicinal Chemistry","Foster City, CA",0,
Gilead,"Manager, Statistical Programming","Foster City, CA",0,
Stanford Health Care,Staff CLS Special Chemistry Clinical Lab,"Palo Alto, CA 94305",0,
"LakePharma, Inc.",Associate Scientist/Scientist - BioProcessing/1608BP11,"Belmont, CA",0,
Gilead Sciences,"Manager, Statistical Programming","Foster City, CA",0,
SRI International,Radiation Biology Scientist,"Menlo Park, CA 94025",0,
"RingCentral, Inc.","Sr. Manager, Operational Intelligence","Belmont, CA 94002",0,
Huawei,Principal Architect - AI,"Santa Clara, CA",0,
"Pharmacyclics, LLC",Drug Safety Scientist,"Sunnyvale, CA",0,
"Magic Leap, Inc.",Software Engineer (Algorithms Development Team),"Mountain View, CA 94040",0,
"Tile, Inc.",Product Data Scientist,"San Mateo, CA",0,
Samsung Research America,Data Scientist,"Mountain View, CA",0,
Primary Data,Senior Tools Developer,"Los Altos, CA 94022",0,
Samsung,Data Scientist,"Mountain View, CA",0,
Ardelyx,Sr. Research Associate - Chemistry,"Fremont, CA 94555 (Northgate area)",0,
Chegg,Staff Data Scientist,"Santa Clara, CA 95054",0,
Facebook,"Data Scientist, Core Data Science","Menlo Park, CA",0,
"Pharmacyclics, LLC","Director, Biomarkers","Sunnyvale, CA",0,
Stanford Health Care,Staff CLS - Microbiology Clinical Lab,"Palo Alto, CA 94305",0,
Inscopix,Executive Assistant,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",0,
Exabeam,Product Manager Cyber Security Analytics,"San Mateo, CA 94403 (Sugerloaf area)",0,
Guardant Health,Lead Clinical Laboratory Scientist (PM shift),"Redwood City, CA",0,
Amazon Corporate LLC,Software Development Engineer,"Palo Alto, CA",0,
10X Genomics,Field Application Scientist - Texas,"Pleasanton, CA",0,
Stinger Ghaffarian Technologies,Senior Computer Scientist IV - Task 77,"Mountain View, CA",0,
Netflix,Senior Data Scientist - Real Time Analytics,"Los Gatos, CA",0,
Symantec,Sr Princ Data Scientist,"Mountain View, CA",0,
Natera,Research Associate II,"San Carlos, CA 94070",0,
Complete Genomics,"Director, Integrated Fluidics Technology","Mountain View, CA",0,
Adverum Biotechnologies,AAV Structural Biologist,"Menlo Park, CA",0,
TOMA Biosciences,Field Scientist,"Foster City, CA",0,
SAP,Junior Developer (Machine Learning) Job,"Dublin, CA",0,
SLAC National Accelerator Laboratory,Head of High Level Applications Department,"Menlo Park, CA",0,
Payette Group,"Research Scientist, NLP & Machine Learning","San Mateo, CA",0,
AppLovin,Software Engineer (Ad Server),"Palo Alto, CA",0,
Exponent,Scientist,"Menlo Park, CA 94025",0,
Gwynnie Bee,Sr. Statistician,"Palo Alto, CA",0,
Amazon Corporate LLC,Machine Learning Scientist,"Palo Alto, CA",0,
Intuit,Senior Data Engineer,"Mountain View, CA 94039",0,
Agilent,Senior Scientist,"Santa Clara, CA 95051",0,
Nucleus 10,Hadoop Spark,"Sunnyvale, CA",0,
Natera,"Application Scientist, Bioinformatics","San Carlos, CA 94070",0,
"GRAIL, Inc.",MACHINE LEARNING (and in particular DEEP LEARNING) SPECIALIS...,"Redwood City, CA",0,
Stanford University,Lab Asst III,"Stanford, CA 94305",0,
SAP,Frontend Developer for Machine Learning development Job,"Palo Alto, CA",0,
Universities Space Research Association,Visiting Post-Doctoral Scientist,"Mountain View, CA",0,
ThreatMetrix,"Technical Business Analyst - San Jose, CA","San Jose, CA 95113 (Downtown area)",0,
Jim Kay & Associates,Machine Learning Scientist,"San Jose, CA",0,
Roche,"Clinical Laboratory Assistant II, Sequencing","San Jose, CA",0,
Phoenix Bioinformatics,Chief Technology Officer,"Redwood City, CA",0,
Accuray Incorporated,"Manager/Architect, Business Intelligence and Big Data","Sunnyvale, CA 94089",0,
"GenapSys, Inc.",Scientist (Sequencing),"Redwood City, CA",0,
KLA-Tencor,"Scientist, Research 3","Milpitas, CA",0,
KLA-Tencor,Research Scientist,"Milpitas, CA",0,
Accuragen,Bioinformatics Scientist,"Menlo Park, CA",0,
"Spyglass Partners, LLC",Machine Learning & Computer Vision Scientist,"Sunnyvale, CA 94085",0,
Gilead Sciences,"Associate Scientist II, Immunology","Foster City, CA",0,
Thermo Fisher Scientific,"Scientist III, R&D (Assay Development)","Fremont, CA 94538 (Irvington area)",0,
Centrillion,Lab Technician - Special Projects,"Palo Alto, CA",0,
Apple,"Senior Media Research Analyst, Apple Ad Platforms","Santa Clara Valley, CA",0,
Workbridge Associates,Principal Data Scientist,"Santa Clara, CA","$120,000 - $180,000 a year",
Facebook,"Research Scientist, Connectivity Lab","Menlo Park, CA",0,
VMware,Staff DevOps/Site Reliability Engineer,"Palo Alto, CA",0,
SlipChip,Research Scientist,"Menlo Park, CA 94025",0,
Area 1 Security,Senior Software Engineer,"Redwood City, CA",0,
Quartzy,Senior Recruiter,"Palo Alto, CA",0,
SLAC National Accelerator Laboratory,LSST Camera Project Manager,"Menlo Park, CA",0,
Ardelyx,Regulatory Affairs Specialist 4,"Fremont, CA 94555 (Northgate area)",0,
"Tile, Inc.",Senior Data Engineer,"San Mateo, CA",0,
Eurofins,Senior LIMS Project Manager,"Foster City, CA",0,
Gilead Sciences,"Associate Scientist I, Fibrosis","Foster City, CA",0,
Electronic Arts,Data Scientist (University Grad),"Redwood City, CA 94065",0,
Planet Pharma,"Manager, Biostatistics","Foster City, CA",0,
Rambus,Computational Optics Expert,"Sunnyvale, CA 94089",0,
Facebook,"Manager, Data Engineering","Menlo Park, CA",0,
BMS,Scientist II,"Redwood City, CA",0,
EverString,Architect,"San Mateo, CA 94402 (Beresford area)",0,
Intel,Research Scientist,"Santa Clara, CA 95052",0,
Facebook,"Applied Research Scientist, Speech Recognition Acoustic Mode...","Menlo Park, CA",0,
"Logyx, LLC",F/T Computer Scientist III Position Available Now!,"Mountain View, CA 94043",0,
Apple,Computer Vision/Machine Learning Engineer,"Santa Clara Valley, CA",0,
Nauto,Machine Learning Engineer,"Palo Alto, CA",0,
Diffbot,Machine Learning Engineer,"Palo Alto, CA",0,
Insight Data Science,"Data Scientist, Program Director","Palo Alto, CA",0,
Intel,Research Scientist- Intel Contract Employee,"Santa Clara, CA 95052",0,
"PARC, a Xerox company",Member of Research Staff - Machine Learning,"Palo Alto, CA",0,
Carnegie Institution,Computational quantitative genetics postdoc position,"Palo Alto, CA",0,
Walmart eCommerce,"Business Systems Manager, Transportation","San Bruno, CA 94066",0,
Mode,Senior Site Reliability Engineer,"San Francisco, CA",0,
Demandbase,Senior Data Scientist,"San Francisco, CA",0,
Walmart eCommerce,"Director, Product Analytics","San Bruno, CA 94066",0,
Twist Bioscience,"Field Application Scientist, North America","San Francisco, CA 94158 (South Of Market area)",0,
Nuna,Infrastructure Engineer,"San Francisco, CA",0,
University of California - San Francisco,Postdoctoral or Staff Scientist Position in Bioinformatics,"San Francisco, CA",0,
Lawrence Berkeley National Laboratory,Research Scientist,"Berkeley, CA 94720",0,
"Aspera, an IBM Company",Sr. Software Engineer - Security/Applied Cryptography Expert,"Emeryville, CA",0,
AncestryDNA,Variation Interpretation Scientist,"San Francisco, CA",0,
"Amazon Web Services, Inc.",Sr. Data Scientist,"San Francisco, CA",0,
"Bio-Rad Laboratories, Inc.",R&D Manager I (Data Science Group Leader),"Hercules, CA 94547",0,
Nurix,"Scientist II, Medicinal Chemistry","San Francisco, CA 94158 (South Of Market area)",0,
Lawrence Berkeley National Laboratory,Optical Physicist Postdoctoral Fellow (Advanced Light Source...,"Berkeley, CA 94720",0,
R&D Partners,Scientist - Immunology,"San Francisco, CA",0,
Monitor 360,Sr Computational Linguist,"San Francisco, CA",0,
EducationSuperHighway,Data Analysis Manager,"San Francisco, CA",0,
Sustainable Recruitment Concepts,MACHINE LEARNING SCIENTIST,"Berkeley, CA",0,
Stem Inc,Senior Platform Architect,"San Francisco Bay Area, CA",0,
Anki,Data Services Engineer,"San Francisco, CA",0,
Clover Health,Data Engineer,"San Francisco, CA",0,
Clinical Solutions Group,Remote Principal Statistical Programmer,"San Francisco, CA",0,
Uber,Product Manager - Marketplace Platform,"San Francisco, CA 94103 (South Of Market area)",0,
"Gametime United, Inc.",Machine Learning Engineer,"San Francisco, CA",0,
BioMarin Pharmaceutical Inc.,Scientist I/II,"Novato, CA",0,
Zymergen,Product Manager - Automation,"Emeryville, CA 94608",0,
"Aspera, an IBM Company",Software Engineering Intern,"Emeryville, CA",0,
Zymergen,"Scientist, Prokaryotic Engineering","Emeryville, CA 94608",0,
Quintara Discovery,Assay Development Research Associate,"South San Francisco, CA 94080",0,
Aipoly,Deep Learning Intern,"San Francisco, CA",0,
Zolon Tech Solutions Inc,Medical Review Specialist,"San Francisco, CA",0,
Matthews Asia,Research Analyst - Pacific Tiger,"San Francisco, CA",0,
Aequor Technologies,"Scientist, Clinical Research - CA","San Francisco, CA",0,
Cytokinetics,Clinical Research Fellow in Neuromuscular Diseases,"South San Francisco, CA 94080",0,
Achaogen,"Scientist I, Chemical Biology","South San Francisco, CA 94080",0,
University of California San Francisco,Financial / Post-award Analyst,"San Francisco, CA",0,
Zymergen,"Research Associate, CRISPR/Cas9 Genome Engineering","Emeryville, CA 94608",0,
Counsyl,Sales Operations Analyst,"South San Francisco, CA 94080",0,
Fitbit,Research Scientist Manager,"San Francisco, CA 94105 (Financial District area)",0,
VWR,Procurement Specialist,"San Francisco, CA",0,
General Assembly,Data Science Instructor,"San Francisco, CA",0,
"Rodan & Fields, LLC",Data Scientist - Forecasting,"San Francisco, CA",0,
Hoodline,Data Scientist,"San Francisco, CA",0,
Eurofins,Protein Scientist,"South San Francisco, CA",0,
Robert Walters,Lead Data Scientist,"San Francisco, CA",0,
Twist Bioscience,"Research Scientist, Molecular Biology","San Francisco, CA 94158 (South Of Market area)",0,
Uber,Marketing Research - Experimentation & Innovation Insights L...,"San Francisco, CA 94105 (Financial District area)",0,
Doximity,Data Scientist - Growth (remote OK),"San Francisco, CA 94107 (South Of Market area)",0,
"Aspera, an IBM Company",Release Program Manager,"Emeryville, CA",0,
Gigster,Product Manager - Network Growth,"San Francisco, CA",0,
"Aspera, an IBM Company",Sr. Technical Support Engineer,"Emeryville, CA",0,
DuPont,Bioinformatics Research Scientist,"Hayward, CA",0,
Nuna,Software Engineer,"San Francisco, CA",0,
"Aspera, an IBM Company",Operations Application Engineer,"Emeryville, CA",0,
Walmart eCommerce,"Associate Manager, Operations","San Bruno, CA 94066",0,
The Climate Corporation,Quantitative Researcher: Statistics (Geospatial),"San Francisco, CA",0,
CTG,RESEARCH SCIENTIST - 16207516,"San Francisco, CA",0,
Uber,Group Product Manager - Data Platform,"San Francisco, CA 94105 (Financial District area)",0,
Walmart eCommerce,Merchandise Planner,"San Bruno, CA 94066",0,
Osaro,Robotics Lab Technician,"San Francisco, CA",0,
Opendoor,Senior Product Manager - Risk,"San Francisco, CA",0,
Genentech,Bioinformatics Technical Business Analyst,"South San Francisco, CA",0,
Zymergen,"Scientist, CRISPR/Cas9 Genome Engineering","Emeryville, CA 94608",0,
IntegraMed America,Clinical Lab Scientist - (CLS),"Orinda, CA",0,
Premise,Senior Data Engineer,"San Francisco, CA 94107 (South Of Market area)",0,
Salesforce,"Customer Growth, Data Scientist","San Francisco, CA",0,
Audentes Therapeutics,Senior Research Associate Process Development,"South San Francisco, CA 94080",0,
method products pbc,Global VP of Technology,"San Francisco, CA 94111 (Financial District area)",0,
Practice Fusion,Software Engineer,"San Francisco, CA 94102 (Downtown area)",0,
CrowdFlower,Solutions Engineer,"San Francisco, CA",0,
Resilience Industries,Expert Scientist & Lab Leader – Spectrophotometry,"San Francisco, CA",0,
Zynga,"Data Scientist, Central Product Management","San Francisco, CA",0,
Sentient,Java Engineer - Machine Learning Platform,"San Francisco, CA",0,
Cutera Inc.,Director of Research,"Brisbane, CA 94005",0,
Ascent Services Group,Biostatistician I,"Emeryville, CA 94608",0,
"FibroGen, Inc.",Sr. Manager/Manager of Statistical Programming,"San Francisco, CA 94158 (South Of Market area)",0,
Stitch Fix,Data Scientist,"San Francisco, CA",0,
Nuna,Product Manager,"San Francisco, CA",0,
Mode,Analyst - Sales Ops & Finance,"San Francisco, CA",0,
Quintara Discovery,DMPK Scientist,"South San Francisco, CA 94080",0,
AncestryDNA,Population Geneticist,"San Francisco, CA",0,
Aclima,Indoor Environmental Data Scientist,"San Francisco, CA",0,
The Norland Group,"Scientist I, QA/QC","South San Francisco, CA",$25 an hour,
Zymergen,"Scientist, Genome Engineering","Emeryville, CA 94608",0,
Pfizer Inc.,Scientist (Non-PhD): CAR T Cell Biology & Engineering,"San Francisco, CA",0,
